Date,Adress,Size,Rooms,Broker,Rent,Price
20210611.0,Fatburs Brunnsgata 30,92.0,4.0,Fastighetsbyrån Stockholm - Södermalm,4393.0,7500000.0
20210610.0,Skebokvarnsvägen 366,92.5,4.0,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5953.0,3950000.0
20210610.0,Nimrodsgatan 23,91.0,4.0,Alicia Edelman Fastighetsmäkleri,4195.0,10025000.0
20210610.0,Sockerbruksgränd 18,95.0,4.0,Notar,4127.0,8375000.0
20210610.0,Beckomberga Ängsväg 22,91.0,4.0,Svenska Mäklarhuset Bromma,4730.0,5000000.0
20210610.0,Kocksgatan 30,90.0,4.0,Södermäklarna,4441.0,7825000.0
20210610.0,Kindstugatan 10,91.0,4.0,Eklund Stockholm New York,5192.0,9300000.0
2021069.0,Brf Grindavik - Kista Gårdsväg,91.1,4.0,Våningen & Villan Stockholm,4803.0,3995000.0
2021069.0,Arbetargatan 23A,92.0,3.0,HusmanHagberg Kungsholmen,4338.0,6650000.0
2021069.0,Kista Alléväg 9,91.1,4.0,Våningen & Villan Stockholm,4803.0,3995000.0
2021068.0,Heleneborgsgatan 48,94.2,3.0,Länsförsäkringar Fastighetsförmedling Stockholm - Södermalm,3666.0,10300000.0
2021067.0,Tomtebogatan 42,90.0,4.0,HusmanHagberg Vasastan,3485.0,10550000.0
2021062.0,Dalagatan 40,93.0,4.0,Fastighetsbyrån Stockholm - Vasastan,3929.0,13875000.0
2021062.0,Hammarögatan 26,93.0,4.0,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5446.0,4095000.0
2021062.0,Midskeppsgatan 10,93.0,4.0,Svenska Mäklarhuset Hammarby Sjöstad,4526.0,6900000.0
2021062.0,Gammelgårdsvägen 52,91.0,4.0,Wallin & Co AB,4533.0,9010000.0
2021062.0,Pelle Svanslös Gata 3,95.0,4.0,Bjurfors Bromma,5417.0,5500000.0
2021062.0,Gävlegatan 32,94.0,4.0,Widerlöv Stockholm,4700.0,9650000.0
20210531.0,Karlbergsvägen 50,90.0,3.0,HusmanHagberg Vasastan,3522.0,10000000.0
20210530.0,Åminnevägen 17,93.0,4.0,Historiska Hem,6482.0,8600000.0
20210530.0,Ringvägen 151,94.0,3.0,Notar,3900.0,10350000.0
20210527.0,Fredriksdalsgatan 11,93.5,4.0,Södermäklarna,4990.0,9250000.0
20210527.0,Midskeppsgatan 12,93.0,4.0,Svenska Mäklarhuset Hammarby Sjöstad,4521.0,7300000.0
20210527.0,Blackensvägen 57A,93.6,4.0,SkandiaMäklarna Älvsjö,4446.0,5600000.0
20210527.0,Sandalettgatan 5,95.0,4.0,Erik Olsson Fastighetsförmedling,5067.0,6000000.0
20210527.0,Linnégatan 39B,90.0,4.0,Lagerlings,4544.0,11900000.0
20210526.0,Hildebergsvägen 24,94.5,4.0,BOSTHLM Älvsjö,5492.0,6100000.0
20210526.0,Blekegatan 5,91.0,4.0,BOSTHLM Älvsjö,3904.0,6750000.0
20210525.0,Furusundsgatan 16,94.0,4.0,Fastighetsbyrån Stockholm – Östermalm,3159.0,10100000.0
20210525.0,Måbärsstigen 29 Q,95.0,4.0,HusmanHagberg Vällingby/Hässelby/Spånga,2726.0,4650000.0
20210525.0,Björksundsslingan 15,90.0,4.0,Fastighetsbyrån Farsta/ Högdalen/ Skogås,4831.0,4320000.0
20210525.0,Korphoppsgatan 20,93.0,4.0,Svensk Fastighetsförmedling Hammarby Sjöstad,5691.0,7460000.0
20210524.0,Skebokvarnsvägen 366,92.5,4.0,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5953.0,4420000.0
20210524.0,Sandalettgatan 7,94.0,4.0,Fastighetsbyrån Hägersten/Älvsjö,5029.0,5900000.0
20210521.0,Lagavägen 18,90.5,4.0,Fastighetsbyrån Enskede,6492.0,6300000.0
20210519.0,Mörsilsgatan 28,94.0,4.0,Länsförsäkringar Fastighetsförmedling Stockholm - Vällingby,4393.0,4590000.0
20210519.0,Narviksgatan 17,91.0,4.0,HusmanHagberg Kista,6509.0,2760000.0
20210519.0,Kabelverksgatan 3,94.0,4.0,BOSTHLM Älvsjö,4859.0,5800000.0
20210518.0,Kratsbodavägen 44D,93.0,4.0,Bronze Fastighetsförmedling AB,4681.0,9400000.0
20210518.0,Gulddragargränd 52,95.0,4.0,Restate,5475.0,4000000.0
20210517.0,Alpvägen 27,95.0,4.0,Svenska Mäklarhuset Bromma,4827.0,6505000.0
20210517.0,Odelbergsvägen 36,94.0,4.0,Svensk Fastighetsförmedling Hammarbyhöjden,6347.0,7500000.0
20210517.0,Hammarbyterrassen 10,90.0,4.0,BOSTHLM Fastighetsmäklare AB,4876.0,9225000.0
20210515.0,Drakflygargatan 6,94.5,4.0,Fastighetsbyrån Enskede,5543.0,3930000.0
20210515.0,Klintbacken 72b,90.0,4.0,Mäklarhuset Bromma,5372.0,6450000.0
20210514.0,Fjärdholmsgränd 9B,95.0,4.0,SkandiaMäklarna Hägersten,5118.0,2300000.0
20210514.0,Storsegelvägen 12,90.0,4.0,Notar,4875.0,7050000.0
20210513.0,Zinkens väg 37,93.0,4.0,BOSTHLM Fastighetsmäklare AB,3729.0,9800000.0
20210512.0,Multrågatan 110,90.0,4.0,Fastighetsbyrån Hässelby/Vällingby/Spånga,5882.0,3000000.0
20210512.0,Spikskogatan 16,92.0,4.0,Erik Olsson Fastighetsförmedling,4954.0,5050000.0
20210512.0,Sandfjärdsgatan 110,91.5,4.0,BOSthlm Årsta,5487.0,5500000.0
20210512.0,Sockenvägen 609,91.0,4.0,BOSthlm Årsta,5158.0,5350000.0
20210512.0,Götgatan 116,93.0,4.0,BOSTHLM Fastighetsmäklare AB,3968.0,7210000.0
20210511.0,Ormbergsvägen 20,91.0,4.0,Fastighetsbyrån Hägersten/Älvsjö,3120.0,9100000.0
20210511.0,Sockenvägen 607,91.0,4.0,Svensk Fastighetsförmedling Farsta-Enskede,5159.0,5500000.0
20210511.0,Settergatan 1,91.5,4.0,Magnusson Mäkleri AB,4858.0,14000000.0
20210511.0,Svartviksslingan 23,90.5,4.0,MOHV Bromma,4890.0,6500000.0
20210510.0,Nyängsvägen 27,93.0,4.0,Eklund Stockholm New York,4440.0,9375000.0
2021058.0,Hammarögatan 26,93.0,4.0,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5446.0,4095000.0
2021056.0,Norrbackagatan 17,92.0,4.0,Fastighetsbyrån Stockholm - Vasastan,3840.0,12500000.0
2021055.0,Vantörsvägen 275,94.5,4.0,Fastighetsbyrån Hägersten/Älvsjö,4358.0,5050000.0
2021055.0,Nybodaringen 105,95.0,4.0,Bjurfors Liljeholmen Hägersten,5032.0,7400000.0
2021055.0,Mörtvikskroken 15,94.0,4.0,Notar,4718.0,8600000.0
2021055.0,Hammarögatan 7,94.0,4.0,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5197.0,3350000.0
2021055.0,Hammarögatan 7,94.0,4.0,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5197.0,3800000.0
2021054.0,Odelbergsvägen 36,94.0,4.0,Svensk Fastighetsförmedling Hammarbyhöjden,6347.0,7280000.0
2021054.0,Pilvingegatan 48,90.0,4.0,HusmanHagberg Enskede,5480.0,4250000.0
2021053.0,Hammarögatan 7,94.0,4.0,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5197.0,3600000.0
2021053.0,Hammarögatan 7,94.0,4.0,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5197.0,3500000.0
20210430.0,Lillhagsvägen 22,90.0,4.0,Fastighetsbyrån Farsta/ Högdalen/ Skogås,6259.0,2950000.0
20210430.0,Sandhamnsgatan 32,93.0,4.0,Svensk Fastighetsförmedling Sthlm Östermalm/Gärdet,4527.0,8600000.0
20210430.0,Hammarögatan 7,94.0,4.0,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5197.0,3500000.0
20210429.0,Gullmarsvägen 64,90.0,3.0,Notar,4200.0,6100000.0
20210429.0,Hammarögatan 7,94.0,4.0,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5197.0,3650000.0
