Date,Adress,Size,Rooms,Broker,Rent,Price,NearbyPOIs,Latitude,Longitude,PricePerKvm,PricePerRoom
20210610.0,Skebokvarnsvägen 366,92.5,4.0,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5953.0,3950000.0,21.0,59.26197969166089,18.04023742675781,42703.0,987500.0
20210610.0,Beckomberga Ängsväg 22,91.0,4.0,Svenska Mäklarhuset Bromma,4730.0,5000000.0,20.0,59.356955441303576,17.89947509765625,54945.0,1250000.0
2021069.0,Brf Grindavik - Kista Gårdsväg,91.1,4.0,Våningen & Villan Stockholm,4803.0,3995000.0,82.0,59.40739801259093,17.943506240844727,43853.0,998750.0
2021069.0,Arbetargatan 23A,92.0,3.0,HusmanHagberg Kungsholmen,4338.0,6650000.0,468.0,59.33454966448464,18.02719116210937,72283.0,2216667.0
2021069.0,Kista Alléväg 9,91.1,4.0,Våningen & Villan Stockholm,4803.0,3995000.0,81.0,59.40766386158333,17.944107055664062,43853.0,998750.0
2021062.0,Hammarögatan 26,93.0,4.0,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5446.0,4095000.0,1800.0,59.32915150430002,18.06255340576172,44032.0,1023750.0
2021062.0,Midskeppsgatan 10,93.0,4.0,Svenska Mäklarhuset Hammarby Sjöstad,4526.0,6900000.0,126.0,59.30161436983947,18.10615539550781,74194.0,1725000.0
2021062.0,Pelle Svanslös Gata 3,95.0,4.0,Bjurfors Bromma,5417.0,5500000.0,75.0,59.36500390671915,17.950973510742188,57895.0,1375000.0
20210527.0,Midskeppsgatan 12,93.0,4.0,Svenska Mäklarhuset Hammarby Sjöstad,4521.0,7300000.0,127.0,59.30196491325117,18.10615539550781,78495.0,1825000.0
20210527.0,Blackensvägen 57A,93.6,4.0,SkandiaMäklarna Älvsjö,4446.0,5600000.0,57.0,59.28232891857718,17.993545532226562,59829.0,1400000.0
20210527.0,Sandalettgatan 5,95.0,4.0,Erik Olsson Fastighetsförmedling,5067.0,6000000.0,44.0,59.28162742348764,18.007278442382812,63158.0,1500000.0
20210526.0,Hildebergsvägen 24,94.5,4.0,BOSTHLM Älvsjö,5492.0,6100000.0,182.0,59.30266598923771,18.028564453125,64550.0,1525000.0
20210526.0,Blekegatan 5,91.0,4.0,BOSTHLM Älvsjö,3904.0,6750000.0,188.0,59.306521648894176,18.02650451660156,74176.0,1687500.0
20210525.0,Måbärsstigen 29 Q,95.0,4.0,HusmanHagberg Vällingby/Hässelby/Spånga,2726.0,4650000.0,14.0,59.36675332054797,17.828750610351562,48947.0,1162500.0
20210525.0,Björksundsslingan 15,90.0,4.0,Fastighetsbyrån Farsta/ Högdalen/ Skogås,4831.0,4320000.0,24.0,59.267594485949715,18.053970336914066,48000.0,1080000.0
