Date,Adress,Size,Rooms,Broker,Rent,Price
11 juni 2021,"Fatburs Brunnsgata 30, 5 tr",92,4,Fastighetsbyrån Stockholm - Södermalm,4393,7500000
10 juni 2021,"Skebokvarnsvägen 366, 8 tr","92,5",4,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5953,3950000
10 juni 2021,Nimrodsgatan 23,91,4,Alicia Edelman Fastighetsmäkleri,4195,10025000
10 juni 2021,Sockerbruksgränd 18,95,4,Notar,4127,8375000
10 juni 2021,Beckomberga Ängsväg 22,91,4,Svenska Mäklarhuset Bromma,4730,5000000
10 juni 2021,Kocksgatan 30,90,4,Södermäklarna,4441,7825000
10 juni 2021,Kindstugatan 10,91,4,Eklund Stockholm New York,5192,9300000
9 juni 2021,Brf Grindavik - Kista Gårdsväg,"91,1",4,Våningen & Villan Stockholm,4803,3995000
9 juni 2021,"Arbetargatan 23A, nb",92,3,HusmanHagberg Kungsholmen,4338,6650000
9 juni 2021,"Kista Alléväg 9, 4 tr (3-1401)","91,1",4,Våningen & Villan Stockholm,4803,3995000
8 juni 2021,Heleneborgsgatan 48,"94,2",3,Länsförsäkringar Fastighetsförmedling Stockholm - Södermalm,3666,10300000
7 juni 2021,"Tomtebogatan 42, 2tr",90,4,HusmanHagberg Vasastan,3485,10550000
2 juni 2021,"Dalagatan 40, 3tr",93,4,Fastighetsbyrån Stockholm - Vasastan,3929,13875000
2 juni 2021,Hammarögatan 26,93,4,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5446,4095000
2 juni 2021,Midskeppsgatan 10,93,4,Svenska Mäklarhuset Hammarby Sjöstad,4526,6900000
2 juni 2021,"Gammelgårdsvägen 52, plan 6",91,4,Wallin & Co AB,4533,9010000
2 juni 2021,"Pelle Svanslös Gata 3, vån 5 / 5",95,4,Bjurfors Bromma,5417,5500000
2 juni 2021,"Gävlegatan 32, 2tr",94,4,Widerlöv Stockholm,4700,9650000
31 maj 2021,"Karlbergsvägen 50, 2 tr",90,3,HusmanHagberg Vasastan,3522,10000000
30 maj 2021,"Åminnevägen 17, Högst upp",93,4,Historiska Hem,6482,8600000
30 maj 2021,"Ringvägen 151, 5 tr",94,3,Notar,3900,10350000
27 maj 2021,"Fredriksdalsgatan 11, 7 tr","93,5",4,Södermäklarna,4990,9250000
27 maj 2021,Midskeppsgatan 12,93,4,Svenska Mäklarhuset Hammarby Sjöstad,4521,7300000
27 maj 2021,Blackensvägen 57A,"93,6",4,SkandiaMäklarna Älvsjö,4446,5600000
27 maj 2021,Sandalettgatan 5,95,4,Erik Olsson Fastighetsförmedling,5067,6000000
27 maj 2021,Linnégatan 39B,90,4,Lagerlings,4544,11900000
26 maj 2021,"Hildebergsvägen 24, 1tr","94,5",4,BOSTHLM Älvsjö,5492,6100000
26 maj 2021,"Blekegatan 5, 1 tr",91,4,BOSTHLM Älvsjö,3904,6750000
25 maj 2021,Furusundsgatan 16,94,4,Fastighetsbyrån Stockholm – Östermalm,3159,10100000
25 maj 2021,Måbärsstigen 29 Q,95,4,HusmanHagberg Vällingby/Hässelby/Spånga,2726,4650000
25 maj 2021,Björksundsslingan 15,90,4,Fastighetsbyrån Farsta/ Högdalen/ Skogås,4831,4320000
25 maj 2021,"Korphoppsgatan 20, 1 tr",93,4,Svensk Fastighetsförmedling Hammarby Sjöstad,5691,7460000
24 maj 2021,"Skebokvarnsvägen 366, 5 tr","92,5",4,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5953,4420000
24 maj 2021,Sandalettgatan 7,94,4,Fastighetsbyrån Hägersten/Älvsjö,5029,5900000
21 maj 2021,Lagavägen 18,"90,5",4,Fastighetsbyrån Enskede,6492,6300000
19 maj 2021,Mörsilsgatan 28,94,4,Länsförsäkringar Fastighetsförmedling Stockholm - Vällingby,4393,4590000
19 maj 2021,Narviksgatan 17,91,4,HusmanHagberg Kista,6509,2760000
19 maj 2021,Kabelverksgatan 3,94,4,BOSTHLM Älvsjö,4859,5800000
18 maj 2021,Kratsbodavägen 44D,93,4,Bronze Fastighetsförmedling AB,4681,9400000
18 maj 2021,"Gulddragargränd 52, 9 Tr",95,4,Restate,5475,4000000
17 maj 2021,"Alpvägen 27, 6 tr.",95,4,Svenska Mäklarhuset Bromma,4827,6505000
17 maj 2021,Odelbergsvägen 36,94,4,Svensk Fastighetsförmedling Hammarbyhöjden,6347,7500000
17 maj 2021,"Hammarbyterrassen 10, 2tr",90,4,BOSTHLM Fastighetsmäklare AB,4876,9225000
15 maj 2021,Drakflygargatan 6,"94,5",4,Fastighetsbyrån Enskede,5543,3930000
15 maj 2021,"Klintbacken 72b, Etage",90,4,Mäklarhuset Bromma,5372,6450000
14 maj 2021,"Fjärdholmsgränd 9B, högst upp!",95,4,SkandiaMäklarna Hägersten,5118,2300000
14 maj 2021,"Storsegelvägen 12, 4tr",90,4,Notar,4875,7050000
